Employee_Id,checkInDate,check_in,check_out
22,08/10/2023,11:13:10,11:24:44
22,08/11/2023,11:24:49,22:23:17
22,08/12/2023,11:09:59,23:30:05
22,8/15/2023,11:20:11,22:23:02
22,8/16/2023,11:05:23,21:07:17
22,8/17/2023,11:07:17,20:33:03
22,8/18/2023,11:28:36,-
22,8/19/2023,11:12:58,21:15:43
22,8/21/2023,11:06:21,21:46:29
22,8/22/2023,11:10:51,21:42:57
23,08/01/2023,10:42:13,23:15:06
23,08/02/2023,10:40:46,22:14:56
23,08/03/2023,10:38:16,22:26:29
23,08/04/2023,10:48:52,21:50:40
23,08/05/2023,10:45:16,22:25:06
23,08/07/2023,10:41:35,23:10:44
23,08/08/2023,10:40:19,22:25:11
23,08/09/2023,10:32:59,22:36:17
23,08/10/2023,10:38:39,21:58:22
23,08/11/2023,10:41:33,22:28:08
23,08/12/2023,10:45:33,23:42:08
23,8/15/2023,10:45:23,22:23:36
23,8/16/2023,14:59:27,22:17:10
23,8/17/2023,10:46:14,20:39:56
23,8/18/2023,10:49:00,21:32:04
23,8/19/2023,10:35:59,21:11:20
23,8/21/2023,10:40:13,21:46:53
23,8/22/2023,10:38:34,20:31:32
24,08/01/2023,11:20:53,21:07:45
24,08/02/2023,11:45:50,20:34:21
24,08/03/2023,11:38:08,21:02:32
24,08/04/2023,11:51:45,11:42:13
24,08/05/2023,-,21:25:04
24,08/07/2023,11:41:29,21:11:03
24,08/08/2023,11:18:22,21:00:50
24,08/09/2023,11:49:38,21:02:17
24,08/10/2023,11:45:22,21:17:29
24,08/11/2023,11:30:40,-
24,08/12/2023,11:46:16,20:39:53
24,8/15/2023,11:35:41,21:21:51
24,8/16/2023,11:27:58,21:02:30
24,8/17/2023,12:00:46,1:28:34
24,8/18/2023,11:24:04,1:28:34
24,8/19/2023,11:35:51,20:45:59
24,8/21/2023,11:34:54,21:12:49
24,8/22/2023,11:45:47,20:38:14
25,08/01/2023,11:43:05,-
25,08/02/2023,11:47:37,20:42:29
25,08/03/2023,11:51:59,-
25,08/04/2023,11:46:10,20:34:13
25,08/05/2023,12:22:51,20:19:52
25,08/07/2023,11:50:43,18:12:56
25,08/08/2023,11:51:11,20:31:07
25,08/09/2023,12:04:16,20:21:57
25,08/10/2023,11:53:31,19:50:13
25,08/11/2023,11:54:54,20:40:01
25,08/12/2023,12:10:14,19:34:26
25,8/15/2023,11:46:21,20:30:35
25,8/16/2023,12:21:57,-
25,8/17/2023,11:51:39,20:50:21
25,8/18/2023,12:41:04,21:03:30
25,8/19/2023,11:49:32,20:35:43
25,8/21/2023,11:45:57,20:29:25
25,8/22/2023,11:50:25,20:44:38
26,08/01/2023,12:18:15,23:14:51
26,08/02/2023,12:44:29,22:10:36
26,08/03/2023,12:05:13,22:26:07
26,08/04/2023,11:51:55,21:49:13
26,08/05/2023,12:22:57,22:25:24
26,08/07/2023,12:05:48,23:12:36
26,08/08/2023,11:54:14,22:25:14
26,08/09/2023,13:56:05,23:04:11
26,08/10/2023,12:10:19,22:00:51
26,08/11/2023,11:52:46,22:23:19
26,08/12/2023,14:26:11,23:42:10
26,8/15/2023,11:58:06,22:03:07
26,8/16/2023,11:43:15,22:17:41
26,8/17/2023,13:15:25,11:36:57
26,8/18/2023,11:37:02,21:10:58
26,8/19/2023,11:30:20,21:11:00
26,8/21/2023,11:56:44,21:47:05
26,8/22/2023,11:54:04,21:44:32
27,08/01/2023,11:21:59,23:25:46
27,08/02/2023,11:30:47,22:17:32
27,08/03/2023,11:21:04,22:56:42
27,08/04/2023,11:36:26,21:52:34
27,08/05/2023,11:09:48,23:07:03
27,08/07/2023,11:32:10,23:22:05
27,08/08/2023,11:26:46,22:26:35
27,08/09/2023,11:38:49,23:06:18
27,08/10/2023,11:27:06,22:02:15
27,08/11/2023,11:35:04,22:28:15
27,08/12/2023,11:31:02,23:42:17
27,8/15/2023,11:28:58,22:26:12
27,8/16/2023,11:26:22,11:23:25
27,8/17/2023,11:23:32,20:33:28
27,8/18/2023,11:29:55,21:35:05
27,8/19/2023,10:58:11,21:23:36
27,8/21/2023,11:01:22,21:48:27
27,8/22/2023,11:07:37,21:57:49
28,08/01/2023,-,-
28,08/02/2023,11:47:22,20:56:46
28,08/03/2023,11:57:06,20:37:49
28,08/04/2023,12:48:39,20:36:54
28,08/05/2023,11:33:04,20:33:30
28,08/07/2023,12:39:16,20:37:00
28,08/08/2023,12:03:53,20:39:50
28,08/09/2023,12:34:35,-
28,08/10/2023,11:32:02,20:34:17
28,08/11/2023,12:58:34,-
28,08/12/2023,11:30:29,20:52:55
28,8/15/2023,12:33:18,21:29:03
28,8/16/2023,12:45:12,21:04:46
28,8/17/2023,11:55:54,20:42:26
28,8/18/2023,13:01:19,20:31:08
28,8/19/2023,11:34:34,20:36:40
28,8/21/2023,12:48:15,20:56:24
28,8/22/2023,11:49:41,20:29:51
29,08/01/2023,11:32:43,20:34:16
29,08/02/2023,11:00:20,-
29,08/03/2023,11:05:42,20:36:25
29,08/04/2023,11:02:17,20:50:01
29,08/05/2023,11:36:14,20:55:24
29,08/07/2023,11:32:03,20:32:16
29,08/08/2023,11:13:40,21:06:51
29,08/09/2023,11:28:01,20:36:49
29,08/10/2023,11:40:24,19:54:58
29,08/11/2023,12:22:03,20:58:14
29,08/12/2023,11:39:09,21:11:26
29,8/15/2023,11:35:22,21:10:15
29,8/16/2023,11:40:51,21:11:18
29,8/17/2023,11:40:51,21:19:18
29,8/18/2023,11:59:48,21:11:12
29,8/19/2023,11:05:01,-
29,8/21/2023,11:41:06,21:15:01
29,8/22/2023,11:31:08,-
30,08/01/2023,14:27:17,-
30,08/02/2023,12:22:21,20:40:05
30,08/03/2023,12:26:26,20:43:22
30,08/04/2023,12:23:41,20:51:33
30,08/05/2023,12:13:48,-
30,08/07/2023,11:58:05,21:16:26
30,08/08/2023,12:50:33,19:38:29
30,08/09/2023,12:25:13,-
30,08/10/2023,12:04:35,20:40:54
30,08/11/2023,12:42:16,21:13:11
30,08/12/2023,11:41:10,-
30,8/15/2023,-,-
30,8/16/2023,-,-
30,8/17/2023,12:51:29,20:40:34
30,8/18/2023,13:52:18,20:39:55
30,8/19/2023,12:02:31,20:42:28
30,8/21/2023,11:28:45,21:05:37
30,8/22/2023,11:48:20,21:20:29
31,08/01/2023,11:54:19,21:43:47
31,08/02/2023,11:45:27,21:38:08
31,08/03/2023,12:01:23,21:52:42
31,08/04/2023,12:04:06,18:30:32
31,08/05/2023,12:14:44,21:42:47
31,08/07/2023,11:37:17,21:37:50
31,08/08/2023,-,-
31,08/09/2023,11:43:29,21:42:20
31,08/10/2023,11:57:14,21:57:41
31,08/11/2023,12:16:23,-
31,08/12/2023,12:02:52,20:36:39
31,8/15/2023,11:40:42,21:00:18
31,8/16/2023,11:24:28,21:16:08
31,8/17/2023,12:06:35,20:23:19
31,8/18/2023,11:44:48,22:03:05
31,8/19/2023,12:11:46,-
31,8/21/2023,13:53:22,21:59:16
31,8/22/2023,12:03:54,-
32,08/01/2023,11:24:29,0:46:42
32,08/02/2023,12:49:45,0:19:29
32,08/03/2023,11:21:36,11:07:59
32,08/04/2023,11:07:54,10:58:38
32,08/05/2023,-,20:52:14
32,08/07/2023,10:50:51,1:23:23
32,08/08/2023,11:25:40,0:41:06
32,08/09/2023,0:41:02,0:27:32
32,08/10/2023,10:59:29,0:23:33
32,08/11/2023,11:04:54,23:53:06
32,08/12/2023,11:26:27,20:37:54
32,8/15/2023,11:01:58,0:27:56
32,8/16/2023,13:15:50,0:35:34
32,8/17/2023,11:08:38,0:45:46
32,8/18/2023,11:02:05,0:22:49
32,8/19/2023,10:58:04,21:17:37
32,8/21/2023,11:11:13,0:59:13
32,8/22/2023,10:52:22,0:26:44
33,08/01/2023,-,-
33,08/02/2023,-,-
33,08/03/2023,-,-
33,08/04/2023,11:44:29,-
33,08/05/2023,11:42:08,20:57:02
33,08/07/2023,-,-
33,08/08/2023,11:41:11,20:41:17
33,08/09/2023,11:41:10,20:34:45
33,08/10/2023,11:42:54,-
33,08/11/2023,11:51:14,20:42:44
33,08/12/2023,11:43:22,21:26:30
33,8/15/2023,11:41:59,20:31:10
33,8/16/2023,11:38:48,20:35:48
33,8/17/2023,13:26:02,-
33,8/18/2023,11:41:27,-
33,8/19/2023,11:39:47,20:38:35
33,8/21/2023,11:44:05,20:32:47
33,8/22/2023,11:43:52,-
34,08/01/2023,-,-
